ocid,id,quantity,description,unit_id,unit_name,unit_value,unit_scheme,classification_id,classification_scheme,classification_description,aditional_id,aditional_uri,aditional_scheme,aditional_description
ocds-5wno2w-CDC-EMUCEEP-005-2019-289014,2883120-DS-SO,1.0,SERVICIOS DE ASISTENCIA DE ASESORAMIENTO ORIENTACION Y OPERACIONALES RELATIVOS A LA ESTRATEGIA DE COMERCIALIZACION Y AL DESARROLLO DE LAS OPERACIONES DE COMERCIALIZACION DE UNA ORGANIZACION. LAS FUNCIONES DE CONSULTORIA EN MATERIA DE COMERCIALIZACION INCL,436,Unidad,6890.0,SERCOP,831140011,CPC,SERVICIOS DE ASISTENCIA DE ASESORAMIENTO ORIENTACION Y OPERACIONALES RELATIVOS A LA ESTRATEGIA DE COMERCIALIZACION Y AL DESARROLLO DE LAS OPERACIONES DE COMERCIALIZACION DE UNA ORGANIZACION. LAS FUNCIONES DE CONSULTORIA EN MATERIA DE COMERCIALIZACION INCL,,,,
ocds-5wno2w-009-RE-GADMB-2019-20973,2898352-DS-SO,1.0,PUBLICACION EN DIARIOS PROVINCIALES,436,Unidad,8928.57,SERCOP,836310112,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS,83631.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83631.01.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS, REVISTAS,DIRECTAMENTE POR EL PUBLICADOR"
ocds-5wno2w-009-RE-GADPLR-2019-2805,2918253-DS-SO,1.0,"SERVICIO DE ORGANIZACIÓN DE EVENTOS CULTURALES, PARA LOS ADULTOS MAYORES",436,Unidad,13458.58,SERCOP,962200561,CPC,SERVICIOS DE PRODUCCION DE EVENTOS,96220.05.6,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96220.05.6,CPC,SERVICIOS DE PRODUCCION Y ANIMACION DE EVENTOS
ocds-5wno2w-009-SIE-13D10-2019-532694,2867655-DS-SO,1.0,"SERVICIOS DE TRANSPORTE DE PASAJEROS POR ITINERARIOS Y CON HORARIOS PREDETERMINADOS PARA UN SEGMENTO ESPECIFICO DE USUARIOS, POR EJEMPLO ESCUELAS, COLEGIOS O EMPRESAS",436,Unidad,25380.0,SERCOP,643120011,CPC,"SERVICIOS DE TRANSPORTE DE PASAJEROS POR ITINERARIOS Y CON HORARIOS PREDETERMINADOS PARA UN SEGMENTO ESPECIFICO DE USUARIOS, POR EJEMPLO ESCUELAS, COLEGIOS O EMPRESAS",64312.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=64312.00.1,CPC,"SERVICIOS DE TRANSPORTE DE PASAJEROS POR ITINERARIOS Y CON HORARIOS PREDETERMINADOS PARA UN SEGMENTO ESPECIFICO DE USUARIOS, POR EJEMPLO ESCUELAS, COLEGIOS O EMPRESAS"
ocds-5wno2w-009-SIE-GADMB-2019-20973,2882598-DS-SO,1.0,"SERVICIOS CONSISTENTES EN PROPORCIONAR PERSONAL DE VIGILANCIA ALQUILADO PARA LA PROTECCION PERSONAL Y PRIVADA, DE PROPIEDADES INDUSTRIALES Y COMERCIALES, CONTRA EL FUEGO, EL ROBO, LOS ACTOS DE VANDALISMO O EL ALLANAMIENTO COMO SERVICIO DE VIGILANCIA E INS",436,Unidad,166753.16,SERCOP,852500011,CPC,"SERVICIOS CONSISTENTES EN PROPORCIONAR PERSONAL DE VIGILANCIA ALQUILADO PARA LA PROTECCION PERSONAL Y PRIVADA, DE PROPIEDADES INDUSTRIALES Y COMERCIALES, CONTRA EL FUEGO, EL ROBO, LOS ACTOS DE VANDALISMO O EL ALLANAMIENTO COMO SERVICIO DE VIGILANCIA E INS",85250.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=85250.00.1,CPC,"SERVICIOS CONSISTENTES EN PROPORCIONAR PERSONAL DE VIGILANCIA ALQUILADO PARA LA PROTECCION PERSONAL Y PRIVADA, DE PROPIEDADES INDUSTRIALES Y COMERCIALES, CONTRA EL FUEGO, EL ROBO, LOS ACTOS DE VANDALISMO O EL ALLANAMIENTO COMO SERVICIO DE VIGILANCIA E INS"
ocds-5wno2w-010-RE-GADMB-2019-20973,2898441-DS-SO,1.0,CUÑAS PUBLICITARIAS DE 45 SEGUNDOS,436,Unidad,15819.3,SERCOP,836320016,CPC,CONTRATACIÓN DE ESPACIOS PUBLICITARIOS PARA LOS ANUNCIOS DE RADIO Y TELEVISIÓN DEL CLIENTE EN LAS EMISORAS Y CANALES ELEGIDOS O SUGERIDOS POR LA AGENCIA,83632.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83632.00.1,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS DE PUBLICIDAD EN RADIO Y TELEVISION  DIRECTAMENTE POR UNIDADES COMPROMETIDAS
ocds-5wno2w-010-RE-GADPLR-2019-2805,2956877-DS-SO,1.0,"CONTRATACION DE SERVICIOS DE ORGANIZACIÓN DE EVENTOS CULTURALES, SOCIALES Y ARTI",436,Unidad,54766.87,SERCOP,962200561,CPC,SERVICIOS DE PRODUCCION DE EVENTOS,96220.05.6,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96220.05.6,CPC,SERVICIOS DE PRODUCCION Y ANIMACION DE EVENTOS
ocds-5wno2w-010-SIE-13D10-2019-532694,2906837-DS-SO,1.0,PUNTO DE SERVICIO INSTITUCIONAL  DE 24 HORAS PERMANENTE CON ARMA NO LETAL,436,Unidad,223415.71,SERCOP,852500041,CPC,PUNTO DE SERVICIO INSTITUCIONAL  DE 24 HORAS PERMANENTE CON ARMA NO LETAL,85250.00.4,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=85250.00.4,CPC,SERVICIO DE VIGILANCIA Y SEGURIDAD PRIVADA FIJA INSTITUCIONAL CON ARMA NO LETAL
ocds-5wno2w-010-SIE-GADMB-2019-20973,2911595-DS-SO,1.0,SERVICIO DE RASTREO Y RECUPERACION DE VEHICULOS ROBADOS,436,Unidad,38160.0,SERCOP,873400031,CPC,SERVICIO DE RASTREO Y RECUPERACION DE VEHICULOS ROBADOS,87340.00.3,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=87340.00.3,CPC,SERVICIO DE INSTALACION DE EQUIPOS DE RASTREO Y MONITOREO
ocds-5wno2w-010-SIE-GPLR-2019-2805,2984767-DS-SO,1.0,EQUIPOS CAMINEROS,436,Unidad,2404997.19,SERCOP,444210111,CPC,EQUIPOS CAMINEROS,44421.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=44421.01.1,CPC,EQUIPOS CAMINEROS
ocds-5wno2w-011-MCO-GAMB-2019-20973,2918354-DS-SO,1.0,SERVICIOS DE CONSTRUCCION DE  DESAGUES,436,Unidad,197808.08,SERCOP,546220011,CPC,SERVICIOS DE CONSTRUCCION DE  DESAGUES,54622.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54622.00.1,CPC,SERVICIOS DE CONSTRUCCION DE  DESAGUES
ocds-5wno2w-011-RE-GADMB-2019-20973,2935624-DS-SO,1.0,DIARIOS PROVINCIALES,436,Unidad,15000.0,SERCOP,836310112,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS,83631.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83631.01.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS, REVISTAS,DIRECTAMENTE POR EL PUBLICADOR"
ocds-5wno2w-011-RE-GADPLR-2019-2805,2960476-DS-SO,1.0,"SERVICIO DE ORGANIZACIÓN DE EVENTOS CULTURALES, SOCIALES Y ARTISTICOS",436,Unidad,35052.05,SERCOP,962200561,CPC,SERVICIOS DE PRODUCCION DE EVENTOS,96220.05.6,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96220.05.6,CPC,SERVICIOS DE PRODUCCION Y ANIMACION DE EVENTOS
